Alamance,155789,4548,3530
Alexander,37832,639,655
Alleghany,11099,-56,146
Anson,26468,-480,-373
Ashe,27448,167,528
Avery,17895,100,309
Beaufort,47717,-56,297
Bertie,20617,-676,-347
Bladen,35113,-77,105
Brunswick,117834,10403,10987
Buncombe,251275,12968,12451
Burke,89197,-1717,-1228
Cabarrus,191060,12878,9161
Caldwell,82445,-584,-203
Camden,10251,271,211
Carteret,69350,2881,3546
Caswell,23602,-117,97
Catawba,155830,1474,535
Chatham,68725,5231,5277
Cherokee,27451,7,550
Chowan,14636,-157,-2
Clay,10794,207,435
Cleveland,97920,-163,-90
Columbus,57632,-466,-244
Craven,104520,1015,-1324
Cumberland,329403,9972,-4287
Currituck,25072,1525,1396
Dare,35415,1495,1172
Davidson,164454,1576,1116
Davie,41476,254,321
Duplin,60126,1621,688
Durham,292191,22217,12159
Edgecombe,55483,-1068,-1161
Forsyth,364248,13578,7327
Franklin,63225,2631,1973
Gaston,210735,4652,3141
Gates,11912,-274,-180
Graham,8829,-32,31
Granville,58104,572,466
Greene,21286,-76,-211
Guilford,512273,23867,15251
Halifax,53190,-1501,-1165
Harnett,125730,11052,7138
Haywood,59913,877,1613
Henderson,110897,4155,5438
Hertford,24578,-80,111
Hoke,50982,4030,1290
Hyde,5738,-72,-30
Iredell,167157,7717,6320
Jackson,41039,768,619
Johnston,180048,11170,6944
Jones,10468,315,417
Lee,59194,1328,176
Lenoir,58830,-665,-414
Lincoln,80202,1937,1745
Macon,34428,506,959
Madison,21584,810,1037
Martin,23714,-791,-440
McDowell,45320,324,441
Mecklenburg,1013199,93533,58384
Mitchell,15825,244,550
Montgomery,27820,22,-197
Moore,93078,4831,5298
Nash,94525,-1312,-1709
New Hanover,216955,14272,12245
Northampton,"21,233",-865,-449
Onslow,193204,15432,1132
Orange,139933,6231,4282
Pamlico,13137,-7,273
Pasquotank,39691,-970,-1437
Pender,56533,4332,3890
Perquimans,13638,185,294
Person,39265,-199,-112
Pitt,174424,6276,2468
Polk,20740,230,939
Randolph,143079,1327,348
Richmond,45545,-1094,-1113
Robeson,133567,-601,-3285
Rockingham,92543,-1097,-378
Rowan,138710,268,-165
Rutherford,67606,-203,477
Sampson,64398,967,89
Scotland,36058,-99,-301
Stanly,61056,471,485
Stokes,46786,-615,-154
Surry,73834,161,560
Swain,14831,850,804
Transylvania,33428,338,939
Tyrrell,4143,-264,-248
Union,215933,14626,9800
Vance,45077,-342,-740
Wake,985310,84292,51363
Warren,20514,-461,-233
Washington,12679,-539,-414
Watauga,52923,1844,1817
Wayne,125681,3058,886
Wilkes,69883,543,874
Wilson,81410,176,-305
Yadkin,37842,-564,-500
Yancey,17907,89,286
